항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승무원승선수,승무원하선수,승객승선수,승객하선수,승객,예선,도선,부선호출부호1,부선호출부호2
부산,783173,한국1호,2023,002,최초,내항,출항,36,2023-08-26 16:00,2024-01-31 05:50,,,기타,,OLH,01,청학안벽,기타항,삼천포,기타선,2,0,0,0,0,0,0,N,N,,
부산,080055,성원2호,2023,023,최종,내항,출항,33,2023-08-26 16:20,2024-03-07 09:30,,2024-05-20 12:45,기타,,MW5,01,5물량장 1선석,기타항,기타항,기타 유조선,2,1,0,0,0,0,0,N,N,,
부산,015640,남명호,2023,007,최종,내항,출항,149,2023-08-30 15:40,2024-05-15 07:32,,2025-06-19 13:52,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,1,1,0,0,0,0,0,N,N,,
부산,940737,제 1002 대성호,2023,009,최종,내항,출항,49,2023-09-12 07:10,2024-02-16 11:00,,2025-12-23 08:36,기타,,MYP,01,부산조선안벽,기타항,기타항,견인용예선,1,1,0,0,0,0,0,N,N,,
부산,230036,동아 1200,2023,001,최종,내항,출항,30,2023-09-13 14:50,2024-04-27 13:00,,2024-05-20 10:41,기타,,*LP,01,대평동호안,기타항,MOJI/KITAKYUSHU,기타 예선,2,0,0,0,0,0,0,N,N,,
부산,875713,2005삼양호,2023,004,최종,내항,출항,33,2023-09-14 09:55,2024-06-07 05:00,,2024-06-14 15:51,기타,,MW2,01,2물량장 1선석,기타항,기타항,기타 예선,2,0,0,0,0,0,0,N,N,,
부산,3EUA4,GRACE PIONEER,2023,028,최종,외항,출항,"6,672",2023-09-20 10:00,2024-10-30 18:00,2024-10-30 17:00,2024-10-31 08:21,기타,24DUSCG922E,WAN,03,남외항 N-3박지,SHANGHAI,OCEAN DISTRICT,풀컨테이너선,8,8,30,30,,,,N,N,,
부산,DTUV,NO 518 NAMGUNG,2023,003,최종,외항,출항,410,2023-09-20 10:45,2024-02-16 15:00,2024-02-16 14:30,2024-02-16 17:01,원양조업선,24YEIL0012E,MK3,03,감천 3부두 3선석,OCEAN DISTRICT,부산,원양 어선,4,20,24,25,1,,1,Y,N,,
부산,060595,상현,2023,009,최종,내항,출항,149,2023-09-22 20:20,2024-03-30 19:06,,2024-04-22 15:19,기타,,MW5,01,5물량장 1선석,기타항,기타항,기타 유조선,2,1,0,0,0,0,0,N,N,,
부산,170032,부광105호,2023,001,최종,내항,출항,41,2023-09-25 13:25,2024-01-30 05:00,,2024-10-31 10:21,기타,,MWB,01,봉래동물량장,진해,마산,기타 예선,1,1,0,0,0,0,0,N,N,,
